event_id,customer_id,event_type,page_url,event_timestamp,device_type
1861,7.0, purchase ,/help,2025-02-05 08:29:38,Tablet
354,83.0,Page_View,/product/101,2025-07-13 20:51:00,MOBILE
1334,97.0,CLICK ,/account,03/03/2025 18:50,
906,91.0,ADD TO CART,/orders,04/06/2025 06:10,MOBILE
1290,25.0, page_view,/orders,2025-01-15 20:47:38,MOBILE
1274,13.0,pageview,/account,13/03/2025 20:37,Desktop
939,6.0, purchase ,/checkout,03/06/2025 21:23,Tablet
1732,79.0,Click,/search,2025-04-27T00:54:10Z,tablet
66,44.0,Search,/product/105,22/05/2025 05:21,
1324,7.0,logout,/cart,16/02/2025 00:45,MOBILE
57,78.0,clik,/checkout,2025-04-12T10:18:47Z,
1293,6.0,purchase,/home,2025-01-01 21:16:56,tablet
1119,36.0,add_to_cart,/search,2025-06-12T00:20:22Z,
585,10.0,Logout,/checkout,2025-03-26T08:19:47Z,desktop
375,58.0,SEARCH,/cart,2025-01-07T19:05:03Z,Desktop
276,75.0,Purchase,/checkout,2025-03-05T05:31:05Z,Tablet
747,86.0,CLICK ,,28/04/2025 04:31,mobile
129,22.0, purchase ,/checkout,2025-01-26T15:50:55Z,Desktop
1647,10.0, page_view,/cart,11/06/2025 07:38,mobile
1853,,Logout,/products,2025-03-10T08:05:10Z,Mobile
675,37.0,purchase,/account,2025-07-07T04:30:31Z,
1665,93.0,Add_To_Cart,/products,2025-07-03 13:51:09,mobile
1982,89.0,Page_View,/orders,01/02/2025 00:00,desktop
1084,21.0,log_out,/product/101,2025-01-07T22:13:24Z,MOBILE
1923,53.0,click,/account,2025-01-19T14:59:36Z,tablet
100,33.0,logout,/product/105,2025-01-01 01:54:55,Desktop
1180,54.0, page_view,/search,2025-05-02 13:24:20,MOBILE
965,91.0,CLICK ,/checkout,2025-04-24T10:50:28Z,desktop
793,89.0,add_to_cart,/product/101,27/04/2025 04:00,tablet
30,99.0,Add_To_Cart,/cart,19/06/2025 16:14,desktop
