event_id,customer_id,event_type,page_url,event_timestamp,device_type,time_diff,new_session,session_id
1935,1.0,add-to-cart,/cart,2025-02-11 10:14:04+00:00,Desktop,,False,0
904,1.0,click,/help,2025-02-12 15:55:00+00:00,Mobile,1 days 05:40:56,True,1
866,1.0,add-to-cart,/account,2025-02-15 16:46:00+00:00,Mobile,3 days 00:51:00,True,2
928,1.0,Click,/cart,2025-02-17 07:54:00+00:00,Mobile,1 days 15:08:00,True,3
692,1.0,SEARCH,/product/105,2025-03-13 19:06:27+00:00,Desktop,24 days 11:12:27,True,4
430,1.0,add-to-cart,/products,2025-03-15 13:11:31+00:00,Desktop,1 days 18:05:04,True,5
634,1.0,LOG OUT,/search,2025-03-28 19:27:00+00:00,Other,13 days 06:15:29,True,6
1700,1.0,Page_View,/cart,2025-03-31 06:06:10+00:00,Mobile,2 days 10:39:10,True,7
996,1.0,purchase,/home,2025-04-20 04:16:54+00:00,Other,19 days 22:10:44,True,8
1934,1.0, purchase ,/products,2025-04-21 18:21:30+00:00,Desktop,1 days 14:04:36,True,9
1247,1.0,purchase,/product/101,2025-06-02 16:35:49+00:00,Mobile,41 days 22:14:19,True,10
1671,1.0,Logout,/account,2025-06-07 05:42:49+00:00,Mobile,4 days 13:07:00,True,11
567,2.0,pageview,/product/105,2025-02-02 20:32:00+00:00,Other,,False,0
141,2.0,log_out,/products,2025-02-07 18:37:37+00:00,Mobile,4 days 22:05:37,True,1
1751,2.0, purchase ,/product/101,2025-02-08 01:02:00+00:00,Desktop,0 days 06:24:23,True,2
681,2.0,Purchase,/products,2025-02-09 13:07:00+00:00,Mobile,1 days 12:05:00,True,3
1472,2.0,add-to-cart,/product/101,2025-04-15 08:54:10+00:00,Other,64 days 19:47:10,True,4
1636,2.0,Click,/cart,2025-04-23 02:46:44+00:00,Other,7 days 17:52:34,True,5
801,2.0,Search,/search,2025-05-14 09:39:35+00:00,Mobile,21 days 06:52:51,True,6
700,2.0,log_out,/orders,2025-05-15 08:19:54+00:00,Desktop,0 days 22:40:19,True,7
1662,2.0,logout,/orders,2025-05-23 17:03:00+00:00,Desktop,8 days 08:43:06,True,8
92,2.0,Add_To_Cart,/account,2025-05-26 13:23:34+00:00,Mobile,2 days 20:20:34,True,9
