base_station.station_num,base_station.zipcode,base_station.city,base_station.state,base_station.latitute,base_station.longitude
1,86502,Chambers,AZ,35.2374992371,-109.523002625
2,86514,Teec Nos Pos,AZ,36.7797012329,-109.35900116
3,85602,Benson,AZ,31.9883003235,-110.2940979
4,86011,Flagstaff,AZ,35.6307983398,-112.052398682
5,86016,Gray Mountain,AZ,35.6307983398,-112.052398682
6,86018,Parks,AZ,35.2563018799,-111.949996948
7,86336,Sedona,AZ,34.8265991211,-111.750602722
8,85547,Payson,AZ,34.2574996948,-111.28780365
9,85548,Safford,AZ,32.797000885,-109.752197266
10,85533,Clifton,AZ,33.1323013306,-109.246200562
11,85922,Blue,AZ,33.6511993408,-109.068496704
12,85075,Phoenix,AZ,33.2765007019,-112.187202454
13,85202,Mesa,AZ,33.3851013184,-111.872398376
14,85254,Scottsdale,AZ,33.6165008545,-111.95539856
15,85255,Scottsdale,AZ,33.6968002319,-111.889198303
16,85320,Aguila,AZ,33.2765007019,-112.187202454
17,85339,Laveen,AZ,33.3436012268,-112.171600342
18,85381,Peoria,AZ,33.604801178,-112.223701477
19,86430,Bullhead City,AZ,35.1473007202,-114.543296814
20,86434,Peach Springs,AZ,35.5377998352,-113.420196533
21,86437,Valentine,AZ,35.6053009033,-113.642700195
22,86444,Meadview,AZ,35.9822006226,-114.07749939
23,86520,Blue Gap,AZ,35.2857017517,-110.288696289
24,85601,Arivaca,AZ,31.9701004028,-111.890701294
25,85705,Tucson,AZ,32.2691001892,-110.98449707
26,85719,Tucson,AZ,32.2473983765,-110.94909668
27,85737,Tucson,AZ,32.4351997375,-110.98449707
28,85739,Tucson,AZ,32.4650001526,-110.892196655
29,85218,Apache Junction,AZ,33.3656005859,-111.448699951
30,86325,Cornville,AZ,34.7256011963,-111.908599854
31,86335,Rimrock,AZ,34.6380004883,-111.784202576
32,85293,Casa Grande,AZ,32.8554000854,-111.797302246
33,85298,Gilbert,AZ,33.2522010803,-111.702201843
34,94623,Oakland,CA,37.6801986694,-121.92150116
35,94701,Berkeley,CA,37.8605995178,-122.296699524
36,95642,Jackson,CA,38.3544998169,-120.757301331
37,95675,River Pines,CA,38.5462989807,-120.742996216
38,95928,Chico,CA,39.7224006653,-121.811302185
39,94529,Concord,CA,37.7771987915,-121.95539856
40,94801,Richmond,CA,37.9399986267,-122.361999512
41,95531,Crescent City,CA,41.7817001343,-124.133201599
42,95635,Greenwood,CA,38.9142990112,-120.900100708
43,93242,Laton,CA,36.4378013611,-119.71559906
44,93706,Fresno,CA,36.648601532,-119.998703003
45,93750,Fresno,CA,36.7463989258,-119.639701843
46,92283,Winterhaven,CA,32.9818000793,-114.685401917
47,93505,California City,CA,35.1277999878,-117.965103149
48,93212,Corcoran,CA,36.0864982605,-119.560699463
49,95424,Clearlake Park,CA,38.9665985107,-122.650001526
50,95426,Cobb,CA,38.8154983521,-122.71320343
51,95435,Finley,CA,38.9639015198,-122.900901794
52,95453,Lakeport,CA,39.047000885,-122.932800293
53,95493,Witter Springs,CA,39.1820983887,-122.971000671
54,96068,Nubieber,CA,41.1300010681,-121.13420105
55,90001,Los Angeles,CA,33.9730987549,-118.247901917
56,90002,Los Angeles,CA,33.9496994019,-118.246200562
57,90003,Los Angeles,CA,33.9653015137,-118.272697449
58,90007,Los Angeles,CA,34.0293998718,-118.287101746
59,90009,Los Angeles,CA,33.7865982056,-118.298698425
60,90011,Los Angeles,CA,34.007900238,-118.258201599
61,90015,Los Angeles,CA,34.0433998108,-118.271598816
62,90016,Los Angeles,CA,34.029800415,-118.352798462
63,90018,Los Angeles,CA,34.0289993286,-118.315200806
64,90021,Los Angeles,CA,34.0332984924,-118.244697571
65,90024,Los Angeles,CA,34.0637016296,-118.440803528
66,90025,Los Angeles,CA,34.0447006226,-118.448699951
67,90039,Los Angeles,CA,34.1120986938,-118.259399414
68,90043,Los Angeles,CA,33.9870986938,-118.332099915
69,90054,Los Angeles,CA,33.7865982056,-118.298698425
70,90059,Los Angeles,CA,33.9292984009,-118.246299744
71,90066,Los Angeles,CA,34.0029983521,-118.429801941
72,90073,Los Angeles,CA,33.7865982056,-118.298698425
73,90079,Los Angeles,CA,33.7865982056,-118.298698425
74,90080,Los Angeles,CA,33.7865982056,-118.298698425
75,90084,Los Angeles,CA,33.7865982056,-118.298698425
